Date,avg_Temperature,GARCH_Temperature,Wiener_Temperature
2023-01-01,-0.9675877,-0.7122784159973081,1.5997708772386603
2023-01-02,-0.98442674,-0.41385981015576856,-0.1716386600032691
2023-01-03,-1.1224025,-0.40248054811803446,-1.5649821337385652
2023-01-04,-1.2914345,0.23565068346368268,-0.3999575775486751
2023-01-05,-1.4564769,-1.7907304016629237,-0.917631212172926
2023-01-06,-1.6055181,-3.9391845053512076,-1.3327247177468178
2023-01-07,-1.735505,-3.112307324111055,-1.3798075725823988
2023-01-08,-1.8466365,-1.7789850510835883,-2.9548858807448575
2023-01-09,-1.9401331,-3.719682827805929,-1.1247175312378332
2023-01-10,-2.0173943,-1.7754562894769959,-1.8662918932801482
2023-01-11,-2.0797029,-1.4318734393249941,-5.204647172865158
2023-01-12,-2.1281455,-4.190789060724522,-2.1906167427284506
2023-01-13,-2.1636102,-3.366809174550986,-1.0333432222319032
2023-01-14,-2.186817,-1.5102134697649063,-2.44273939351244
2023-01-15,-2.198346,-4.64056302053665,-1.2417864437058754
2023-01-16,-2.1986632,-2.5187869142114554,-1.5609646215318538
2023-01-17,-2.18814,-3.270961839841743,-3.3523882395849958
2023-01-18,-2.1670663,-3.493877223476974,-2.0741131728929956
2023-01-19,-2.1356618,-2.315454552342991,-1.9835167156234799
2023-01-20,-2.0940845,1.1739597144999747,-0.5303374537616756
2023-01-21,-2.0424294,-1.0913545206704978,-0.7547659148878598
2023-01-22,-1.9807353,-2.5708383221419924,-2.2368674957189736
2023-01-23,-1.9089851,-1.3997101045492362,-3.0437349124770963
2023-01-24,-1.8271132,-1.1324592789292725,-2.3901691600457298
2023-01-25,-1.7350144,-0.7341024441604744,-1.7390905751698582
2023-01-26,-1.632552,-3.4133042032750875,-1.2567961632915703
2023-01-27,-1.5195701,-0.015242698150187861,0.06438476789118575
2023-01-28,-1.3959124,-4.378366856872539,-1.5128213376551356
2023-01-29,-1.2614495,-2.3825028630568483,-0.31448639070122364
2023-01-30,-1.1161171,-3.885415403162967,-1.4749523333813916
2023-01-31,-0.9599669,3.4587759728554,-0.7088670468454414
2023-02-01,-0.79322433,-3.76850825989667,1.9559891456796725
2023-02-02,-0.6163473,0.04305306267538456,-0.6303933973222209
2023-02-03,-0.4300634,-1.4552301512884513,-1.3133290024624649
2023-02-04,-0.23537219,-1.9809570311875668,-2.8667037101315036
2023-02-05,-0.03349106,-0.06926345716456009,1.5107420673037912
2023-02-06,0.17424533,1.7387909399016481,1.503079742018095
2023-02-07,0.38651705,-0.3684799341486764,0.05460428732657768
2023-02-08,0.60213995,-0.11593734013301371,2.0308848177511893
2023-02-09,0.82014406,-2.1313393030973393,0.4879909324486367
2023-02-10,1.0397958,1.8113048777781748,1.0515483363590428
